#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.Label
#foreign_key_rtable=rtable.Label
#ltable=POINTER
_id,ltable.Label,rtable.Label,ltable.BeerName,rtable.BeerName,gold
1952,A1880,B3429,Ruby River Ruby Red Ale,Pokertree Red Earl Ruby Ale,0
1987,A189,B2559,Smuttynose Kindest Find Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,0
1989,A189,B2806,Smuttynose Kindest Find Imperial Red Ale,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,0
1992,A189,B2951,Smuttynose Kindest Find Imperial Red Ale,Two Brothers Revelry Imperial Red Ale,0
1997,A189,B3167,Smuttynose Kindest Find Imperial Red Ale,Brannon_s Deputation Imperial Red Ale,0
2000,A189,B3472,Smuttynose Kindest Find Imperial Red Ale,Rock Bottom Orland Park King of Hearts Imperial Red Ale,0
2026,A1903,B2035,Big Axe Red Ale,Big Spruce Ready Yer Knot... Regatta Red Ale,0
2035,A1903,B931,Big Axe Red Ale,Big Island Red Giant Ale,0
2056,A1921,B2778,Red Dragon Smoked Amber Ale,Kilted Dragon Bonnie Heather Amber Ale,0
2059,A1921,B376,Red Dragon Smoked Amber Ale,Baird Smoked Amber Ale,0
2064,A1924,B1389,Main Street Amber Ale,Thorn Street Smugglers Cove Agave Amber Ale,0
2073,A1928,B599,Rocky Point Red Ale,Alley Kat Rocky Mountain Red Ale &#40;The Cheesecake Cafe&#41;,0
2083,A1938,B1938,Dream Of The 90's,Prohibition Pig Dream of the 90s,1
2141,A195,B195,Peak Organic The Maple Collaboration,Peak Organic The Maple Collaboration,1
2147,A1950,B3710,Double Red Ale,Midnight Sun Unite Double Red Hot Ale &#40;2015&#41;,0
2153,A1955,B1955,Poor Richard's Ale,21st Amendment Poor Richards Ale,1
2182,A1996,B3769,S:t Eriks Unite Red Ale,Daytona Beach FL Wildflower Unite Red Ale,0
2202,A2032,B1225,Bushfire American Red,Granite Falls Bushfire American Red Ale,1
2220,A205,B1655,Rock Bottom Red Ale,Rock Bottom La Jolla Ragtop Red Ale,0
2260,A2051,B2906,Red Hopper (Imperial Red Ale),Kinetic Infrared Imperial Red Ale,0
2267,A2051,B3167,Red Hopper (Imperial Red Ale),Brannon_s Deputation Imperial Red Ale,0
2271,A2051,B3502,Red Hopper (Imperial Red Ale),Proof Abandoned Planet Imperial Red Ale,0
2277,A2051,B495,Red Hopper (Imperial Red Ale),Worthy Eruption Imperial Red Ale,0
2293,A2072,B107,Merry Prankster Imperial Red Ale,Marble Imperial Red Ale,0
2310,A2072,B2344,Merry Prankster Imperial Red Ale,Tumbledown Imp Imperial Red Ale,0
2388,A2107,B2344,C N Red Imperial Red Ale,Tumbledown Imp Imperial Red Ale,0
2396,A2107,B2906,C N Red Imperial Red Ale,Kinetic Infrared Imperial Red Ale,0
2401,A2107,B31,C N Red Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale,0
2419,A2111,B1573,Old Cascade Amber Ale,Central Coast Old Mission Amber Ale,0
2427,A2114,B2000,Single Hop #3 Amber Ale W/ Citra,Hill Farmstead Amarillo Single Hop Pale Ale,0
2428,A2114,B226,Single Hop #3 Amber Ale W/ Citra,Lancaster Hop Buggy Amber Ale,0
2475,A2141,B1087,Mountain City Amber Ale,Colorado Mountain Ole 59er Amber Ale,0
2490,A2141,B590,Mountain City Amber Ale,Fin City Jackspot Amber Ale,0
2497,A2151,B1023,Channary Imperial Red Ale,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,0
2524,A2151,B2951,Channary Imperial Red Ale,Two Brothers Revelry Imperial Red Ale,0
2584,A2181,B2565,Clifford's Big Red Ale,Big Time Lift Ticket American Red Ale,0
2588,A2181,B931,Clifford's Big Red Ale,Big Island Red Giant Ale,0
2593,A2182,B1141,Red Dirt Imperial Red Ale,Laguna Beach Grateful Red Imperial Red Ale,0
2611,A2182,B2559,Red Dirt Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,0
2624,A2182,B3472,Red Dirt Imperial Red Ale,Rock Bottom Orland Park King of Hearts Imperial Red Ale,0
2627,A2182,B36,Red Dirt Imperial Red Ale,AleSmith YuleSmith &#40;Winter&#41; Imperial Red Ale,0
2655,A2189,B2189,Bitter Orange Blossom,I & I Bitter Orange Blossom,1
2659,A2201,B2201,Cow Catcher Red,Mountain Town Cow Catcher Red Ale,1
2682,A2237,B666,Port Chester Red Ale,Pizza Port Rhino Chaser Imperial Red Ale,0
2688,A2243,B2369,Rabbit Mountain Red Ale,Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,0
2696,A2271,B2271,Big Red Balls,Hillcrest Big Red Balls,1
2700,A2275,B4001,Freedom Bridge Amber Ale,Bridge Ambleside Amber Ale - Pomegranate & Galena Hops,0
2745,A2301,B1070,Arsenal Imperial Red Ale,Wynwood Fox Imperial Red Ale,0
2758,A2301,B2182,Arsenal Imperial Red Ale,Kern River Dirty Hippie Imperial Red Ale,0
2796,A2306,B2559,Bourbon Barrel Red Oak Ale,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,0
2815,A2318,B2318,Blarney Rock Irish Ale,Rockyard Blarney Rock Irish Ale,1
2831,A2346,B199,Brew Kahuna NW Red Ale,Brew Bus Detour Series: Rollin Dirty Red Ale - Wood Aged,0
2852,A2349,B2182,Tst Brw 01 - Imperial Red Ale,Kern River Dirty Hippie Imperial Red Ale,0
2888,A2350,B1613,Fire Brew Red Ale,Conshohocken Hale Fire Red Ale,0
2921,A2392,B2392,My Hoppy Valentine,Excel My Hoppy Valentine,1
2923,A2395,B1543,Bourbon Barrel Aged Redrum,Aspen Bourbon Barrel Aged Conundrum Red Ale,0
3008,A2431,B1163,Barrel Aged Riverside Red,Blue Pants Big & Tall #2: Barrel Aged Belgian Red,0
3023,A2433,B1199,Mr. Grain Jeans Organic Amber Ale,Squatters Respect Your Mother Organic Amber Ale,0
3070,A2455,B1023,Bourbon Barrel Ro Shampo Imperial Red Ale,Fulton The Libertine Imperial Red Ale - Heaven Hill Rye Whiskey Barrel Aged,0
3078,A2455,B154,Bourbon Barrel Ro Shampo Imperial Red Ale,Cape Cod Bourbon Barrel Red,0
3086,A2455,B2045,Bourbon Barrel Ro Shampo Imperial Red Ale,Sick N Twisted Naughty Redhead Imperial Red Ale,0
3097,A2455,B2788,Bourbon Barrel Ro Shampo Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,0
3101,A2455,B293,Bourbon Barrel Ro Shampo Imperial Red Ale,Lavery Imperial Red Ale &#40;IRA&#41;,0
3116,A2455,B354,Bourbon Barrel Ro Shampo Imperial Red Ale,Spring House Atomic Raygun Imperial Red Ale,0
3125,A2455,B524,Bourbon Barrel Ro Shampo Imperial Red Ale,Legacy Bourbon Barrel Hedonism Red,0
3148,A2465,B1405,Mountain Series: Love Rhino (Imperial Red Ale),Cigar City Cold Brew Series - Red Ale,0
3165,A2465,B2344,Mountain Series: Love Rhino (Imperial Red Ale),Tumbledown Imp Imperial Red Ale,0
3175,A2465,B2906,Mountain Series: Love Rhino (Imperial Red Ale),Kinetic Infrared Imperial Red Ale,0
3178,A2465,B2951,Mountain Series: Love Rhino (Imperial Red Ale),Two Brothers Revelry Imperial Red Ale,0
3199,A2465,B657,Mountain Series: Love Rhino (Imperial Red Ale),Madhouse Venture Series Oak Aged Imperial Red,0
3209,A2476,B269,Buck And Ball Double Amber Ale,Fox and Hound Red Fox Amber Ale,0
3228,A2495,B2495,Fullers Traitors' Gate,Fuller_s Traitor_s Gate,1
3243,A2512,B1654,3 Sisters American Red Ale,Saimaan Brewer_s Special American Red Ale,0
3247,A2512,B3054,3 Sisters American Red Ale,Stadin American Red Ale,0
3253,A2512,B507,3 Sisters American Red Ale,Radiant Pig Gangster Duck American Red Ale,0
3254,A2512,B529,3 Sisters American Red Ale,Black Shirt American India Red Ale,0
3261,A2523,B2523,5 Star Amber Ale,The Civil Life Stevie_s 5 Star Amber Ale,1
3262,A2523,B2564,5 Star Amber Ale,Blue Star Apache Amber Ale,0
3263,A2526,B476,Easy Amber Ale,Upland Easy Chair Amber Ale,0
3269,A2539,B2539,Shirt Tail Amber,Iron Hill Shirt Tail Amber,1
3289,A2559,B1477,Barrel Aged Imperial Red Ale,Laurelwood Organic Deranger Imperial Red Ale,0
3377,A259,B230,Red Rose Amber Ale,Upland Rad Red Amber Ale,0
3387,A259,B969,Red Rose Amber Ale,Swashbuckler Red Sea Amber Ale,0
3389,A2592,B2592,Arrow Point Amber,Bainbridge Island Arrow Point Amber,1
3394,A2606,B1248,Red Rock Opie Red Ale,Council Rock Sleeping Lion Red Ale,0
3431,A2630,B3812,Brass Ale Honey Amber,Salty Nut Bee Transfixed Honey Amber Ale,0
3439,A2636,B1854,Broadhead Bourbon Barrel Aged Red,MadTree Bourbon Barrel Aged Happy Amber,0
3442,A2636,B2559,Broadhead Bourbon Barrel Aged Red,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,0
3450,A2636,B357,Broadhead Bourbon Barrel Aged Red,Flat 12 Barrel Aged Moustache Ride Red,0
3464,A2640,B2640,Sons Of Anarchy Amber Ale,Sudwerk Sons Of Anarchy Amber Ale,1
3475,A2648,B311,Killer Red Fresh Hop India Red Ale,8 Wired Tall Poppy India Red Ale,0
3485,A2648,B535,Killer Red Fresh Hop India Red Ale,Central City Red Racer India Style Red Ale,0
3491,A2667,B3843,Blue Bridge Amber Dry Hopped,Winthrop Double Dry Hopped Amber,0
3497,A267,B2449,Panama Limited Red Ale,Flossmoor Station Barrel Aged Panama Limited Red Ale,0
3516,A269,B1485,Red Fox Amber Ale,Big Texan Texas Red Amber Ale,0
3559,A2724,B2724,Hearthstone Red Rye Ale,Hearthstone Red Rye Ale,1
3568,A2735,B2735,British Knight Scotch Red Ale,Oskar Blues British Knight Scotch Red Ale,1
3587,A2753,B735,Extra Special Red Ale,Ecliptic Phobos Extra Red Ale,0
3588,A2757,B2757,Summer Session Ale,Aqula Summer Session Ale,1
3598,A2759,B2512,Aiken American Red Pale Ale,Wild Ride 3 Sisters American Red Ale,0
3603,A2759,B347,Aiken American Red Pale Ale,Blue Heron Corey_s American Pale Ale &#40;C.A.P.A.&#41;,0
3625,A278,B278,Real McCoy Amber Ale,Mammoth Real McCoy Amber Ale,1
3628,A2786,B458,Spencer Creek Amber Ale,Ruby Mountain Angel Creek Amber Ale,0
3634,A2800,B2800,Willimantic Riverfest Red,Willimantic Riverfest Red Ale,1
3641,A2806,B2806,Road Rash Red,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,0
3644,A2813,B2434,Oatmeal Raisin Cookie Ale,Aftershock Oatmeal Raisin Cookie Ale,0
3645,A2816,B304,Hurricane Alley Amber Ale,Charleville Tornado Alley Amber Ale,0
3671,A2847,B199,Mermaid's Red Ale - Bourbon Oak Aged,Brew Bus Detour Series: Rollin Dirty Red Ale - Wood Aged,0
3741,A2903,B2903,Red Curry Ale,Hideout Red Curry Ale,1
3750,A292,B4369,Great Lakes Independence Ale,Amsterdam X Sawdust City X Great Lakes X Indie Ale Barley Wine &#40;Oak&#41;,0
3756,A293,B11,Lavery Imperial Red Ale,Lagunitas Imperial Red Ale,0
3759,A293,B1477,Lavery Imperial Red Ale,Laurelwood Organic Deranger Imperial Red Ale,0
3763,A293,B1732,Lavery Imperial Red Ale,Oak Creek King Crimson Imperial Red Ale,0
3769,A293,B2242,Lavery Imperial Red Ale,ShuBrew Heart and Sole Imperial Red Ale,0
3780,A293,B2951,Lavery Imperial Red Ale,Two Brothers Revelry Imperial Red Ale,0
3781,A293,B2971,Lavery Imperial Red Ale,Ale Mania Imperial Red Ale,0
3809,A2946,B2946,The Gentle Mongoose,Holy City The Gentle Mongoose,1
3813,A295,B493,Flying Monkey Amber Ale,Flying Monkeys Amber Ale,0
3814,A2952,B1087,Hoppy Amber Ale (Mountain Series),Colorado Mountain Ole 59er Amber Ale,0
3846,A2962,B3947,Jurassic Duck Amber Ale (dry Hopped With Mosaic),Nighthawk 16-Hour Dry Hopped Amber,0
3855,A2967,B174,Big Red Hoppy Barn,21st Amendment Big Hoppy Red Bird,0
3872,A2971,B2182,Ale Mania Imperial Red Ale,Kern River Dirty Hippie Imperial Red Ale,0
3875,A2971,B2344,Ale Mania Imperial Red Ale,Tumbledown Imp Imperial Red Ale,0
3893,A2971,B3502,Ale Mania Imperial Red Ale,Proof Abandoned Planet Imperial Red Ale,0
3899,A2971,B495,Ale Mania Imperial Red Ale,Worthy Eruption Imperial Red Ale,0
3916,A2997,B1336,Sequoia American Amber Ale,Aarhus Cains Triple A American Amber Ale,0
3921,A2997,B2580,Sequoia American Amber Ale,Canal Park General Sterling Price American Amber Ale - Centennial,0
3951,A3009,B1244,Imperial Moustache Red Ale,Phillips Double Dragon Imperial Red Ale,0
3991,A3009,B848,Imperial Moustache Red Ale,Three Heads Buffalo Soul Jah Imperial Red Ale,0
4017,A3012,B869,Rock River Red Ale,Boxing Rock Temptation Red Ale,0
4022,A3016,B1242,Street Cred India Rye Red Ale,Good People Stepchild Belgian India Red Ale,0
4041,A302,B302,Boohai Red Ale,Crazy Mountain Boohai Red Ale &#40;Kura Koa&#41;,1
4050,A3029,B3029,Ise Kadoya Amber Ale,Ise Kadoya Amarillo Amber Ale,1
4066,A303,B2182,Ro Shampo Imperial Red Ale,Kern River Dirty Hippie Imperial Red Ale,0
4073,A303,B2559,Ro Shampo Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,0
4138,A3073,B3073,Regimental 80 Scottish Ale,Crooked Eye Regimental 80 Scottish Ale,1
4166,A31,B2242,Tongue Buckler - Imperial Red Ale,ShuBrew Heart and Sole Imperial Red Ale,0
4192,A31,B495,Tongue Buckler - Imperial Red Ale,Worthy Eruption Imperial Red Ale,0
4195,A31,B848,Tongue Buckler - Imperial Red Ale,Three Heads Buffalo Soul Jah Imperial Red Ale,0
4198,A3113,B3113,MovAmber Moustache Ale,Bull City Movamber Moustache Ale,1
4206,A3119,B3119,Unite Red Rye Ale,Pike Unite Red Rye Ale,1
4207,A3119,B3710,Unite Red Rye Ale,Midnight Sun Unite Double Red Hot Ale &#40;2015&#41;,0
4225,A3130,B1536,Red 88 Imperial Amber Ale,Yukon You Only Live Once Imperial Red Ale,0
4318,A3138,B31,Imperial Red Ale (Spring Seasonal),Ballast Point Tongue Buckler Imperial Red Ale,0
4365,A3167,B1536,Deputation Imperial Red Ale,Yukon You Only Live Once Imperial Red Ale,0
4393,A3167,B3472,Deputation Imperial Red Ale,Rock Bottom Orland Park King of Hearts Imperial Red Ale,0
4395,A3167,B354,Deputation Imperial Red Ale,Spring House Atomic Raygun Imperial Red Ale,0
4408,A317,B1484,Ruby Red American Ale,Genesee Brew House American Red Ale,0
4423,A317,B529,Ruby Red American Ale,Black Shirt American India Red Ale,0
4446,A3171,B2559,Ulysses Imperial Red Ale,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,0
4447,A3171,B2788,Ulysses Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,0
4473,A3175,B1754,Phobos Single Hop Red Ale,Iron Horse Fresh Hop Imperial Red Ale,0
4499,A3211,B1708,Bonehead Red Bourbon Barrel Aged Imperial Red,Andersonville Bourbon Barrel Aged Sour Gangster,0
4551,A3226,B1477,Sledgehammer Imperial Red Ale,Laurelwood Organic Deranger Imperial Red Ale,0
4573,A3226,B2971,Sledgehammer Imperial Red Ale,Ale Mania Imperial Red Ale,0
4576,A3226,B3138,Sledgehammer Imperial Red Ale,Edge Imperial Red Ale &#40;Spring Seasonal&#41;,0
4585,A3226,B4029,Sledgehammer Imperial Red Ale,Anacapa Riptide Imperial Red Ale,0
4597,A3251,B3251,Freedom Soho Red,Freedom Soho Red,1
4606,A327,B1810,Hoppy Face Amber Ale,2nd Story Hoppy New Year Amber Ale,0
4618,A3288,B1327,Buffalo Trace Bourbon Barrel Aged Amber Ale,Ballast Point Calico Amber Ale - Rum Barrel Aged,0
4622,A3288,B1830,Buffalo Trace Bourbon Barrel Aged Amber Ale,Bull & Barrel Session Style - Amber Ale,0
4630,A3288,B3171,Buffalo Trace Bourbon Barrel Aged Amber Ale,Barley_s Barrel Aged Ulysses Imperial Red Ale,0
4634,A3288,B367,Buffalo Trace Bourbon Barrel Aged Amber Ale,Barrel Trolley Amber Ale,0
4648,A3290,B2607,"The ""Ginger"" A Red Ale",The Beer Company Wyatt Earp Red Ale,0
4657,A3293,B167,Fresh Hop Red,Laurelwood Fresh Hop Free Range Red &#40;Amarillo&#41;,0
4659,A3293,B2203,Fresh Hop Red,Ice Harbor Double Red Ale - Fresh Hop,0
