_id,name,factory,style,abv
beer_advocate_0030,Red Hoptober,New Belgium Brewing,American Amber / Red Ale,6.0
beer_advocate_0031,Captain Sig's Northwestern Ale,Rogue Ales,American Amber / Red Ale,6.2
beer_advocate_0032,Five AM,BrewDog,American Amber / Red Ale,5.0
beer_advocate_0033,YuleSmith (Winter),AleSmith Brewing Company,American Amber / Red Ale,8.5
beer_advocate_0034,Shark Attack Double Red Ale,Port Brewing,American Amber / Red Ale,9.0
beer_advocate_0035,Switchback Ale,Switchback Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0036,Runoff Red IPA,Odell Brewing Company,American Amber / Red Ale,6.5
beer_advocate_0037,Red Nectar,Humboldt Brewing Co.,American Amber / Red Ale,5.4
beer_advocate_0038,Ambergeddon,Ale Asylum,American Amber / Red Ale,6.8
beer_advocate_0039,Terrapin Oaked Big Hoppy Monster,Terrapin Beer Company,American Amber / Red Ale,10.3
beer_advocate_0040,AutumnFest,Weyerbacher Brewing Co.,American Amber / Red Ale,5.4
beer_advocate_0041,AleSmith My Bloody Valentine,AleSmith Brewing Company,American Amber / Red Ale,6.66
beer_advocate_0042,Kingpin Double Red Ale,BridgePort Brewing Co. / Brewpub,American Amber / Red Ale,7.5
beer_advocate_0043,Loakal Red,The Bruery,American Amber / Red Ale,6.9
beer_advocate_0044,Red-oric - Beer Camp #65 (Best Of Beer Camp: Imperial Red Ale),Sierra Nevada Brewing Co.,American Amber / Red Ale,8.0
beer_advocate_0045,Redhook Copperhook,Redhook Ale Brewery,American Amber / Red Ale,5.8
beer_advocate_0046,Duck-Rabbit Amber Ale,The Duck-Rabbit Craft Brewery,American Amber / Red Ale,5.5
beer_advocate_0047,Samuel Adams Mighty Oak Ale,Boston Beer Company (Samuel Adams),American Amber / Red Ale,5.7
beer_advocate_0048,Believer,Ninkasi Brewing Company,American Amber / Red Ale,6.9
beer_advocate_0049,Mermaid's Red Ale,Coronado Brewing Company,American Amber / Red Ale,5.7
beer_advocate_0050,Jamaica Red Ale,Mad River Brewing Company,American Amber / Red Ale,6.5
beer_advocate_0051,Fistmas,Revolution Brewing Company,American Amber / Red Ale,6.1
beer_advocate_0052,Saint Arnold Amber Ale,Saint Arnold Brewing Company,American Amber / Red Ale,5.5
beer_advocate_0053,Pursuit Of Hoppiness,Grand Teton Brewing Co.,American Amber / Red Ale,8.5
beer_advocate_0054,Mourning Wood,Local Option,American Amber / Red Ale,7.3
beer_advocate_0055,Blue Moon Valencia Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.9
beer_advocate_0056,Snowshoe Red Ale,New Glarus Brewing Company,American Amber / Red Ale,5.7
beer_advocate_0057,Blood Of The Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,6.5
beer_advocate_0058,AleSmith Evil Dead Red,AleSmith Brewing Company,American Amber / Red Ale,6.66
beer_advocate_0059,New Holland Sundog Amber Ale,New Holland Brewing Company,American Amber / Red Ale,5.25
beer_advocate_0060,Cinder Cone Red,Deschutes Brewery,American Amber / Red Ale,5.3
beer_advocate_0061,Dark Horse Amber Ale,Dark Horse Brewing Company,American Amber / Red Ale,5.5
beer_advocate_0062,Laughing Skull Amber Ale,Red Brick Brewing Company,American Amber / Red Ale,5.7
beer_advocate_0063,Drop Top Amber,Widmer Brothers Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0064,Hoppus Maximus,Thirsty Dog Brewing Company,American Amber / Red Ale,5.9
beer_advocate_0065,Fascist Pig Ale,Finch's Beer Co.,American Amber / Red Ale,8.0
beer_advocate_0066,Blood Shot - Beer Camp #95,Sierra Nevada Brewing Co.,American Amber / Red Ale,8.5
beer_advocate_0067,Evil Twin Hop Flood,Evil Twin Brewing,American Amber / Red Ale,7.0
beer_advocate_0068,Key West Sunset Ale,Florida Beer Company,American Amber / Red Ale,4.8
beer_advocate_0069,Alleycat Amber,Lost Coast Brewery and Cafe,American Amber / Red Ale,5.5
beer_advocate_0070,African Amber,Mac and Jack's Brewery,American Amber / Red Ale,5.2
beer_advocate_0071,Odell Levity Amber Ale,Odell Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0072,Big Red Coq,Brewery Vivant,American Amber / Red Ale,6.5
beer_advocate_0073,Blue Point Winter Ale,Blue Point Brewing Company,American Amber / Red Ale,7.0
beer_advocate_0074,Red Fish,Flying Fish Brewing Company,American Amber / Red Ale,7.0
beer_advocate_0075,Red Banshee,The Fort Collins Brewery,American Amber / Red Ale,5.3
beer_advocate_0076,Green Lakes Organic Ale,Deschutes Brewery,American Amber / Red Ale,5.2
beer_advocate_0077,Blue Moon Rising Moon Spring Ale,Coors Brewing Company,American Amber / Red Ale,5.4
beer_advocate_0078,Evil Twin,Heretic Brewing Company,American Amber / Red Ale,6.8
beer_advocate_0079,Buckshot Amber Ale,Natty Greene's Pub & Brewing Co.,American Amber / Red Ale,4.9
beer_advocate_0080,Hemp Hop Rye,O'Fallon Brewery,American Amber / Red Ale,5.5
beer_advocate_0081,Revelry,Two Brothers Brewing Company,American Amber / Red Ale,9.5
beer_advocate_0082,Pinstripe Red Ale,Ska Brewing Co.,American Amber / Red Ale,5.15
beer_advocate_0083,Newport Storm Hurricane Amber Ale,Coastal Extreme Brewing Co.,American Amber / Red Ale,5.2
beer_advocate_0084,Redhook Late Harvest Autumn Ale,Redhook Ale Brewery,American Amber / Red Ale,5.9
beer_advocate_0085,XS Imperial Red,Rogue Ales,American Amber / Red Ale,9.0
beer_advocate_0086,The Men's Room Ale,Elysian Brewing Company,American Amber / Red Ale,5.6
beer_advocate_0087,Lobster Ale,Belfast Bay Brewing Co.,American Amber / Red Ale,5.0
beer_advocate_0088,Mayflower Spring Hop,Mayflower Brewing Company,American Amber / Red Ale,5.3
beer_advocate_0089,Giddy Up!,New Belgium Brewing,American Amber / Red Ale,6.0
beer_advocate_0090,Revel Red,Stoudts Brewing Co.,American Amber / Red Ale,6.2
beer_advocate_0091,Old Yankee Ale,Cottrell Brewing Co.,American Amber / Red Ale,5.0
beer_advocate_0092,Dawn Of The Red I.R.A. Ale,Ninkasi Brewing Company,American Amber / Red Ale,7.0
beer_advocate_0093,Centennial Red (Brewmaster Series),Long Trail Brewing Co.,American Amber / Red Ale,7.9
beer_advocate_0094,Ouisconsing Red Ale,Central Waters Brewing Co.,American Amber / Red Ale,4.8
beer_advocate_0095,Ashland Amber,Caldera Brewing Company,American Amber / Red Ale,5.4
beer_advocate_0096,Firefly Amber Ale,Jackie O's Pub & Brewery,American Amber / Red Ale,4.5
beer_advocate_0097,Reprise Centennial Red,4 Hands Brewing Co.,American Amber / Red Ale,6.0
beer_advocate_0098,ESB Amber Ale,Flying Fish Brewing Company,American Amber / Red Ale,5.5
beer_advocate_0099,Alaskan Imperial Red Ale (Pilot Series),Alaskan Brewing Co.,American Amber / Red Ale,8.5
beer_advocate_0100,MacTarnahan's Amber Ale,Portland Brewing Company,American Amber / Red Ale,5.1
beer_advocate_0101,Palmetto Amber,Palmetto Brewing Company,American Amber / Red Ale,5.5
beer_advocate_0102,Rainmaker,Steel Toe Brewing,American Amber / Red Ale,6.5
beer_advocate_0103,Ginger Twin,Half Acre Beer Company,American Amber / Red Ale,6.5
beer_advocate_0104,Marble Red Ale,Marble Brewery,American Amber / Red Ale,6.5
beer_advocate_0105,Retro Red,The Fort Collins Brewery,American Amber / Red Ale,5.2
beer_advocate_0106,Lost Dog,Napa Smith Brewery,American Amber / Red Ale,7.2
beer_advocate_0107,Blue Moon Spiced Amber Ale,Coors Brewing Company,American Amber / Red Ale,5.6
beer_advocate_0108,Loopy Oatmeal Red Ale,Three Heads Brewing,American Amber / Red Ale,6.6
beer_advocate_0109,Red Skull,Revolution Brewing Company,American Amber / Red Ale,8.8
beer_advocate_0110,Peak Organic Espresso Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,7.0
beer_advocate_0111,Chronic Ale,Pizza Port Solana Beach,American Amber / Red Ale,4.95
beer_advocate_0112,Shine On Ale,Central Waters Brewing Co.,American Amber / Red Ale,
beer_advocate_0113,Alexander Keith's Red Amber Ale,Alexander Keith's,American Amber / Red Ale,5.0
beer_advocate_0114,River Horse Special Ale,River Horse Brewing Co.,American Amber / Red Ale,4.5
beer_advocate_0115,Crazy Mountain Amber Ale,Crazy Mountain Brewing Company,American Amber / Red Ale,5.25
beer_advocate_0116,Monk In The Trunk,Inlet Brewing Co.,American Amber / Red Ale,5.5
beer_advocate_0117,Tap Room No. 21 Amber Ale,World Brews,American Amber / Red Ale,4.8
beer_advocate_0118,Kirkland Signature Amber Ale,Kirkland Signature / Costco Wholesale Corporation,American Amber / Red Ale,5.7
beer_advocate_0119,Gypsy Tears Ruby Ale,Parallel 49 Brewing Company,American Amber / Red Ale,6.0
beer_advocate_0120,American Red Ale,Rock Art Brewery,American Amber / Red Ale,4.8
beer_advocate_0121,Bonehead Imperial Red,Fat Head's Brewery & Saloon,American Amber / Red Ale,9.4
beer_advocate_0122,Austin Amber Ale,Independence Brewing Co.,American Amber / Red Ale,4.8
beer_advocate_0123,Shark Bite Red Ale,Port Brewing,American Amber / Red Ale,6.0
beer_advocate_0124,Black Dog Ale,Spanish Peaks Brewing Co.,American Amber / Red Ale,5.2
beer_advocate_0125,Red God,Cambridge Brewing Company,American Amber / Red Ale,9.0
beer_advocate_0126,Jumping Cow Amber Ale,Steinhaus Brewing Co.,American Amber / Red Ale,5.5
beer_advocate_0127,Native Amber,Coop Ale Works,American Amber / Red Ale,6.1
beer_advocate_0128,The Unforgiven Amber Ale,Rush River Brewing Company,American Amber / Red Ale,5.8
beer_advocate_0129,Henry Weinhard's Redwood Flats Amber Ale,Blitz-Weinhard Brewing Co.,American Amber / Red Ale,5.2
beer_advocate_0130,Bear Naked Ale,Adirondack Pub & Brewery,American Amber / Red Ale,5.2
beer_advocate_0131,New Holland Red Tulip Ale,New Holland Brewing Company,American Amber / Red Ale,
beer_advocate_0132,Rexx,Clown Shoes,American Amber / Red Ale,12.0
beer_advocate_0133,North Peak Siren Amber,North Peak Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0134,Amber Ale,Grand Teton Brewing Co.,American Amber / Red Ale,5.3
beer_advocate_0135,Rusty Chain,Flying Bison Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0136,Train Wreck Ale,Mountain Town Brewing Co.,American Amber / Red Ale,8.2
beer_advocate_0137,Wachusett Octoberfest Ale,Wachusett Brewing Company,American Amber / Red Ale,5.2
beer_advocate_0138,Double Dread Imperial Red Ale,Mad River Brewing Company,American Amber / Red Ale,8.6
beer_advocate_0139,Rustic Ale,Lost Nation Brewing,American Amber / Red Ale,5.4
beer_advocate_0140,The Libertine,Fulton Beer,American Amber / Red Ale,8.5
beer_advocate_0141,Aorta Ale (Double Red Ale),Short's Brewing Company,American Amber / Red Ale,8.3
beer_advocate_0142,Finnegans Irish Amber,Finnegans Inc.,American Amber / Red Ale,4.75
beer_advocate_0143,Rowhouse Red,Philadelphia Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0144,Peak Organic King Crimson,Peak Organic Brewing Company,American Amber / Red Ale,9.5
beer_advocate_0145,Louie's Demise,Milwaukee Ale House,American Amber / Red Ale,4.8
beer_advocate_0146,West Sixth Amber,West Sixth Brewing Company,American Amber / Red Ale,5.5
beer_advocate_0147,Happy Amber,MadTree Brewing,American Amber / Red Ale,6.0
beer_advocate_0148,Thomas Creek Appalachian Amber Ale,Thomas Creek Brewery,American Amber / Red Ale,6.8
beer_advocate_0149,Cape Cod Red,Cape Cod Beer,American Amber / Red Ale,5.5
beer_advocate_0150,Bucolia,Bissell Brothers Brewing Co.,American Amber / Red Ale,5.6
beer_advocate_0151,Runabout Red Ale,Sebago Brewing Company,American Amber / Red Ale,4.4
beer_advocate_0152,Sam Vs. Unicorn,Pipeworks Brewing Company,American Amber / Red Ale,9.0
beer_advocate_0153,Red Marker Ale,AleWerks Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0154,Sierra Blanca Roswell Alien Amber,Sierra Blanca Brewing Company (Rio Grande),American Amber / Red Ale,5.2
beer_advocate_0155,Rise Up Red,Hopworks Urban Brewery,American Amber / Red Ale,5.8
beer_advocate_0156,Peak Organic Fall Summit Ale,Peak Organic Brewing Company,American Amber / Red Ale,5.7
beer_advocate_0157,Ard Ri,Upland Brewing Company,American Amber / Red Ale,9.5
beer_advocate_0158,Ridgeback Ale,No Label Brewing Company,American Amber / Red Ale,6.1
beer_advocate_0159,Betrayal Imperial Red,Speakeasy Ales & Lagers,American Amber / Red Ale,8.2
beer_advocate_0160,Bromigo Smoked Maple Amber,Three Heads Brewing,American Amber / Red Ale,6.5
beer_advocate_0161,Great Lakes Rally Drum Red Ale,Great Lakes Brewing Co.,American Amber / Red Ale,5.8
beer_advocate_0162,Free Range Red,Laurelwood Public House & Brewery,American Amber / Red Ale,6.1
beer_advocate_0163,Bitto Honey,Prism Brewing Company,American Amber / Red Ale,6.5
beer_advocate_0164,Buffalo Bayou 1836,Buffalo Bayou Brewing Co,American Amber / Red Ale,5.9
beer_advocate_0165,Rail Yard Ale,Wynkoop Brewing Company,American Amber / Red Ale,5.2
beer_advocate_0166,Deveiled,Magic Hat Brewing Company,American Amber / Red Ale,5.2
beer_advocate_0167,Red Rock Amber Ale,OPA-OPA Steakhouse & Brewery,American Amber / Red Ale,6.0
beer_advocate_0168,Carrack,Mission Brewery,American Amber / Red Ale,10.2
beer_advocate_0169,Hoppy Red,Boston Beer Company (Samuel Adams),American Amber / Red Ale,5.7
beer_advocate_0170,All-In Amber,Full Pint Brewing Company,American Amber / Red Ale,5.8
beer_advocate_0171,Imperial Red Ale,Epic Brewing Company,American Amber / Red Ale,7.7
beer_advocate_0172,The Imperial Texan,Martin House Brewing Company,American Amber / Red Ale,8.0
beer_advocate_0173,Perfect Tin Amber,Tin Roof Brewing Company,American Amber / Red Ale,4.5
beer_advocate_0174,Thirsty Goat Amber,Thirsty Planet Brewing Company,American Amber / Red Ale,6.8
beer_advocate_0175,Goose Autumn Ale,Goose Island Beer Co.,American Amber / Red Ale,6.7
beer_advocate_0176,Peak Organic Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,4.9
beer_advocate_0177,Red Rambler Ale,Peace Tree Brewing Co.,American Amber / Red Ale,5.8
beer_advocate_0178,6th Anniversary Ale (Dirty Hippie Imperial Red Ale),Kern River Brewing Company,American Amber / Red Ale,8.0
beer_advocate_0179,Red Jacket Amber Ale,Keweenaw Brewing Company,American Amber / Red Ale,5.1
beer_advocate_0180,Red Giant,Element Brewing Company,American Amber / Red Ale,8.25
beer_advocate_0181,Hello My Name Is Amber,Flat 12 Bierwerks,American Amber / Red Ale,5.8
beer_advocate_0182,Dank Imperial Red,O'so Brewing Company & Tap House,American Amber / Red Ale,9.2
beer_advocate_0183,Sundance Amber Ale,Boulder Beer / Wilderness Pub,American Amber / Red Ale,4.85
beer_advocate_0184,Smuttynose Kindest Find Imperial Red Ale,Smuttynose Brewing Company,American Amber / Red Ale,8.5
beer_advocate_0185,Buffalo Butt,Rahr & Sons Brewing Company,American Amber / Red Ale,4.5
beer_advocate_0186,Counter Culture,Flying Dog Brewery,American Amber / Red Ale,6.0
beer_advocate_0187,El Rojo Red Ale,Griffin Claw Brewing Company,American Amber / Red Ale,6.5
beer_advocate_0188,Ma,Tree House Brewing Company,American Amber / Red Ale,7.3
beer_advocate_0189,Elector Imperial Red Ale,New Albanian Brewing Company - Pizzeria and Public House,American Amber / Red Ale,7.0
beer_advocate_0190,Peak Organic The Maple Collaboration,Peak Organic Brewing Company,American Amber / Red Ale,7.0
beer_advocate_0191,Fish Tale Amber Ale,Fish Brewing Company / Fishbowl Brewpub,American Amber / Red Ale,5.5
beer_advocate_0192,Red Mo Ale,Otto's Pub and Brewery,American Amber / Red Ale,5.0
beer_advocate_0193,Diablo Rojo,Boneyard Beer Company,American Amber / Red Ale,7.0
beer_advocate_0194,Rollin' Dirty Red Ale,Cigar City Brewing,American Amber / Red Ale,
beer_advocate_0195,Indiana Amber,Oaken Barrel Brewing Company,American Amber / Red Ale,5.5
beer_advocate_0196,Switchback Roasted Red Ale,Switchback Brewing Company,American Amber / Red Ale,5.6
beer_advocate_0197,Impey Barbicane's Moongun,Cigar City Brewing,American Amber / Red Ale,5.0
beer_advocate_0198,Epicenter Amber,SanTan Brewing Co.,American Amber / Red Ale,5.5
beer_advocate_0199,Thirsty Beaver Amber Ale,Tree Brewing,American Amber / Red Ale,5.0
beer_advocate_0200,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.6
beer_advocate_0201,Tyranny Hoppy Red Ale,Wicked Weed Brewing,American Amber / Red Ale,7.2
beer_advocate_0202,Auburn Ale,Cameron's Brewing Co.,American Amber / Red Ale,5.0
beer_advocate_0203,Rusty Red,O'so Brewing Company & Tap House,American Amber / Red Ale,6.0
beer_advocate_0204,Louie's Resurrection,Milwaukee Brewing Company,American Amber / Red Ale,10.2
beer_advocate_0205,Simcoe SamuRYE,Al's of Hampden / Pizza Boy Brewing,American Amber / Red Ale,6.0
beer_advocate_0206,Griffon Red Ale,McAuslan Brewing,American Amber / Red Ale,4.5
beer_advocate_0207,Boont Barl Bourbon Barrel Amber Ale,Anderson Valley Brewing Company,American Amber / Red Ale,6.0
beer_advocate_0208,War Of 1812 Ale,Sackets Harbor Brewing Co.,American Amber / Red Ale,5.2
beer_advocate_0209,Amsterdam Big Wheel Deluxe Amber,Amsterdam Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0210,Valor Ale,14th Star Brewing Co.,American Amber / Red Ale,5.4
beer_advocate_0211,Northern Hawk Owl,Right Brain Brewery,American Amber / Red Ale,5.8
beer_advocate_0212,Narragansett Lovecraft Series - Honey Ale,Narragansett Brewing Co.,American Amber / Red Ale,7.0
beer_advocate_0213,Odin's Gift,Odin Brewing Company,American Amber / Red Ale,5.4
beer_advocate_0214,Scuttlebutt Amber,Scuttlebutt Brewing Company,American Amber / Red Ale,5.1
beer_advocate_0215,Kona Brown,Perrin Brewery,American Amber / Red Ale,5.5
beer_advocate_0216,Sabre-Toothed Squirrel,Smog City Brewing,American Amber / Red Ale,7.0
beer_advocate_0217,Shakparo (Fire-Brewed African Style-Ale),Sprecher Brewing Company,American Amber / Red Ale,5.7
beer_advocate_0218,Sleeman Original Dark (50*),Sleeman Breweries Ltd.,American Amber / Red Ale,5.5
beer_advocate_0219,Offshore Amber Ale,Offshore Ale Company,American Amber / Red Ale,5.3
beer_advocate_0220,Hop Buggy,Lancaster Brewing Company,American Amber / Red Ale,5.6
beer_advocate_0221,McNeill's Firehouse Amber Ale,McNeill's Brewery,American Amber / Red Ale,5.6
beer_advocate_0222,Mississippi Fire Ant,Southern Prohibition Brewing,American Amber / Red Ale,8.0
beer_advocate_0223,Rude Boy,Burley Oak Brewery,American Amber / Red Ale,8.0
beer_advocate_0224,Rad Red Amber Ale,Upland Brewing Company,American Amber / Red Ale,5.6
beer_advocate_0225,Rebel Kent The First,3 Sheeps Brewing,American Amber / Red Ale,5.0
beer_advocate_0226,Hoppocalypse,Apocalypse Ale Works,American Amber / Red Ale,8.0
beer_advocate_0227,Misfit Red,DuClaw Brewing Company,American Amber / Red Ale,5.1
beer_advocate_0228,Red Cockaded Ale,Southern Star Brewing Company,American Amber / Red Ale,8.5
beer_advocate_0229,Rapscallion Blessing,Rapscallion,American Amber / Red Ale,8.0
beer_advocate_0230,Wasatch Evolution Amber Ale,Utah Brewers Cooperative,American Amber / Red Ale,4.0
beer_advocate_0231,Dean Pacific Northwest Mahogany Ale,SingleCut Beersmiths,American Amber / Red Ale,6.0
beer_advocate_0232,Lavaman Red Ale,Kona Brewing Co.,American Amber / Red Ale,5.6
beer_advocate_0233,Bor̩ale Rousse,Brasseurs Du Nord Inc.,American Amber / Red Ale,5.0
beer_advocate_0234,Ipswich Harvest Ale,Ipswich Ale Brewery,American Amber / Red Ale,6.9
beer_advocate_0235,Saluki Dunkeldog,Big Muddy Brewing,American Amber / Red Ale,5.4
beer_advocate_0236,Windvane,Bad Weather Brewing Company,American Amber / Red Ale,6.0
beer_advocate_0237,Nimbus Rillito Red Ale,Nimbus Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0238,Cambridge Amber,Cambridge Brewing Company,American Amber / Red Ale,4.9
beer_advocate_0239,Ultra High Frequency,Solemn Oath Brewery,American Amber / Red Ale,7.5
beer_advocate_0240,Hale's Red Menace Big Amber,Hale's Ales Brewery & Pub,American Amber / Red Ale,4.6
beer_advocate_0241,Ramble On Red,NoDa Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0242,Spark House Red Ale,Lake of Bays Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0243,Expedition Ale,Drake's Brewing Co.,American Amber / Red Ale,7.0
beer_advocate_0244,Mass Transit Ale,Bristol Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0245,American Ale,Thimble Island Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0246,Wavemaker Amber Ale,Big Storm Brewing Company,American Amber / Red Ale,6.0
beer_advocate_0247,Rye'd Piper,Ale Industries,American Amber / Red Ale,5.8
beer_advocate_0248,Plowman's Ale,Grand River Brewing,American Amber / Red Ale,4.7
beer_advocate_0249,Lighthouse Ale,Fire Island Beer Company,American Amber / Red Ale,5.2
beer_advocate_0250,Scarlet Fire,Tighthead Brewing Company,American Amber / Red Ale,5.6
beer_advocate_0251,Ridgetop Red,Silver City Brewing Co.,American Amber / Red Ale,6.0
beer_advocate_0252,Red Rose Amber Ale,Baird Brewing Company / Fishmarket Taproom,American Amber / Red Ale,5.4
beer_advocate_0253,Carlsbad Chronic,Pizza Port Solana Beach,American Amber / Red Ale,5.8
beer_advocate_0254,McCarthy's Bane,Knee Deep Brewing Company,American Amber / Red Ale,8.0
beer_advocate_0255,Kroovy,Rushing Duck Brewing Company,American Amber / Red Ale,9.0
beer_advocate_0256,Tyrant Double Red,Wicked Weed Brewing,American Amber / Red Ale,8.5
beer_advocate_0257,Back East Ale,Back East Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0258,Duce,Lucid Brewing,American Amber / Red Ale,7.5
beer_advocate_0259,Common Sense,Upstate Brewing Company,American Amber / Red Ale,5.3
beer_advocate_0260,Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,
beer_advocate_0261,Louie's Demise Immort-Ale,Milwaukee Brewing Company,American Amber / Red Ale,4.8
beer_advocate_0262,Red Fox Amber Ale,Rogue Ales,American Amber / Red Ale,
beer_advocate_0263,Sunset Amber Ale,Grand Canyon Brewing Company,American Amber / Red Ale,5.4
beer_advocate_0264,El Toro Poppy Jasper,El Toro Brewing Co.,American Amber / Red Ale,5.3
beer_advocate_0265,Redemption Red Ale,ReaperAle,American Amber / Red Ale,6.6
beer_advocate_0266,Block Party,Karben4 Brewing,American Amber / Red Ale,5.6
beer_advocate_0267,Bone Warmer Imperial Amber Ale,Grand Teton Brewing Co.,American Amber / Red Ale,8.2
beer_advocate_0268,1881 Sacramento,Ruhstaller,American Amber / Red Ale,5.6
beer_advocate_0269,Red Nun Red Ale,O'Connor Brewing Co.,American Amber / Red Ale,5.5
beer_advocate_0270,Homework Series # 1 - Hoppy Red Ale,Ballast Point Brewing Company,American Amber / Red Ale,7.0
beer_advocate_0271,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.5
beer_advocate_0272,Carnie Fire,COAST Brewing Company,American Amber / Red Ale,5.0
beer_advocate_0273,Squatters Big Cottonwood,Utah Brewers Cooperative,American Amber / Red Ale,5.75
beer_advocate_0274,Remnant Of Dragon,Greenbush Brewing Company,American Amber / Red Ale,9.0
beer_advocate_0275,Saranac Amber Ale,Matt Brewing Company / Saranac Brewery,American Amber / Red Ale,5.6
beer_advocate_0276,McNeill's Ruby Ale,McNeill's Brewery,American Amber / Red Ale,5.7
beer_advocate_0277,Oak Creek Amber Ale,Oak Creek Brewery and Grill,American Amber / Red Ale,5.5
beer_advocate_0278,Dark Horse Rod,Dark Horse Brewing Company,American Amber / Red Ale,
beer_advocate_0279,Struise Rosse,De Struise Brouwers,American Amber / Red Ale,6.0
beer_advocate_0280,Bulldog Amber Ale,Half Pints Brewing Company,American Amber / Red Ale,5.4
beer_advocate_0281,Man Vs. Internet,Solemn Oath Brewery,American Amber / Red Ale,9.5
beer_advocate_0282,Frankenmuth Christmas Town Ale,Frankenmuth Brewery,American Amber / Red Ale,6.7
beer_advocate_0283,Empire Amber Ale,Empire Brewing Company,American Amber / Red Ale,5.5
beer_advocate_0284,Great Lakes Independence Ale,Great Lakes Brewing Co.,American Amber / Red Ale,6.0
beer_advocate_0285,Lavery Imperial Red Ale,Lavery Brewing Company,American Amber / Red Ale,8.2
beer_advocate_0286,Exile Red,Evolution Craft Brewing Company,American Amber / Red Ale,5.9
